,category,currency,discount_price,discount_rate,rating,rating_count,shipping_option_price,shipping_is_express,has_urgency_banner,origin_country,merchant_rating_count,merchant_rating,size_var,nb_cart_orders_approx
0,bodysuit,EUR,13.0,0.8266666666666667,4.34375,32.0,4.0,0,0,CN,5008.0,4.442891373801917,5.0,10.0
1,bodysuit,EUR,4.74,0.9526,4.0,14.0,2.0,0,1,CN,8.0,4.75,12.0,10.0
2,bodysuit,EUR,4.0,0.0,4.032451923076923,832.0,1.0,0,0,CN,36935.0,4.1035061594693385,5.0,10000.0
3,bodysuit,EUR,8.0,0.0,4.0,1.0,3.0,0,0,CN,22384.0,4.076304503216583,7.0,10.0
4,bodysuit,EUR,14.0,0.8313253012048193,4.307692307692308,13.0,4.0,0,0,CN,23754.0,4.103561505430664,4.0,10.0
5,bodysuit,EUR,5.0,0.0,4.666666666666667,9.0,2.0,0,0,CN,5034.0,4.27751291219706,5.0,10.0
6,bodysuit,EUR,13.0,0.0,3.2850241545893724,207.0,4.0,0,0,CN,20707.0,4.272323368909064,1.0,1000.0
7,bodysuit,EUR,11.0,0.75,3.989130434782609,92.0,3.0,0,1,CN,24273.0,4.187986651835373,4.0,10.0
8,bodysuit,EUR,15.0,0.375,3.555555555555556,117.0,5.0,0,0,CN,4014.0,4.256851021425012,9.0,10.0
9,bodysuit,EUR,3.0,0.9090909090909091,3.98937784522003,659.0,1.0,0,0,CN,6145.0,3.801790073230269,8.0,5000.0
10,bodysuit,EUR,5.0,0.9242424242424242,0.0,0.0,2.0,0,0,CN,14052.0,4.2875747224594365,3.0,10.0
11,bodysuit,EUR,17.0,0.0,0.0,0.0,0.0,0,1,CA,403.0,4.054590570719603,3.0,10.0
12,bodysuit,EUR,4.69,0.885609756097561,4.293103448275862,58.0,1.0,0,1,CN,254.0,3.9251968503937014,6.0,10.0
13,bodysuit,EUR,6.0,0.0,2.333333333333333,6.0,2.0,0,1,CN,17992.0,4.244219653179191,4.0,10.0
14,bodysuit,EUR,6.0,0.9076923076923077,3.824858757062147,177.0,2.0,0,0,CN,30084.0,3.9634024730753885,0.0,10.0
15,bodysuit,EUR,12.0,0.0,4.5,2.0,3.0,0,0,CN,214.0,4.182242990654205,0.0,10.0
16,bodysuit,EUR,5.0,0.16666666666666663,4.086956521739131,23.0,2.0,0,0,CN,3777.0,4.334921895684405,1.0,10.0
17,bodysuit,EUR,7.0,0.0,3.570754716981132,212.0,3.0,0,0,CN,3598.0,4.13396331295164,8.0,1000.0
18,bodysuit,EUR,23.0,0.42500000000000004,0.0,0.0,9.99,0,0,US,2371.0,4.370729649936735,0.0,10.0
19,bodysuit,EUR,13.0,0.7719298245614035,4.0,4.0,4.0,0,0,CN,19467.0,3.8408588894025786,1.0,10.0
20,bodysuit,EUR,16.0,0.0,0.0,0.0,6.0,0,0,CA,1166.0,3.9382504288164655,3.0,10.0
21,bodysuit,EUR,14.0,0.9151515151515152,3.7894736842105265,57.0,5.0,0,0,CN,6029.0,4.377840437883563,4.0,10.0
22,bodysuit,EUR,6.0,0.0,3.654545454545455,55.0,2.0,0,0,CN,221758.0,4.160909640238458,5.0,10.0
23,bodysuit,EUR,14.0,0.641025641025641,4.3243243243243255,37.0,4.0,0,0,CN,16090.0,4.282411435674332,5.0,10.0
24,bodysuit,EUR,10.0,0.16666666666666663,3.96875,160.0,2.0,0,1,CN,2051.0,3.7693807898586056,7.0,1000.0
25,bodysuit,EUR,10.0,0.23076923076923073,3.8953488372093017,172.0,2.0,0,0,CN,19411.0,4.216578228839318,7.0,1000.0
26,bodysuit,EUR,10.0,0.0,4.571428571428571,7.0,2.0,0,0,CN,1392.0,4.047413793103448,8.0,10.0
27,bodysuit,EUR,10.0,0.0,4.337078651685394,89.0,6.0,1,0,CN,117438.0,4.315383436366424,5.0,10.0
28,bodysuit,EUR,6.0,0.0,3.919463087248322,298.0,2.0,0,0,US,11900.0,4.35,0.0,1000.0
29,bodysuit,EUR,5.0,0.0,3.2,5.0,2.0,0,0,CN,10014.0,3.921509886159377,12.0,10.0
30,bodysuit,EUR,10.0,0.33333333333333337,4.371428571428571,105.0,3.0,0,0,CN,2332.0,4.431818181818182,3.0,10.0
31,bodysuit,EUR,10.0,0.5238095238095238,4.4230769230769225,260.0,2.0,0,0,CN,979.0,4.437180796731358,3.0,1000.0
32,bodysuit,EUR,28.0,0.0,0.0,0.0,0.0,0,1,CA,403.0,4.054590570719603,3.0,10.0
33,bodysuit,EUR,2.0,0.6,4.170828043447595,7089.0,1.0,0,0,CN,218414.0,4.33474044704094,1.0,50000.0
34,bodysuit,EUR,10.0,0.0,4.363636363636363,22.0,7.0,1,1,CN,12307.0,4.21231819289835,8.0,10.0
35,bodysuit,EUR,5.0,0.0,4.5,12.0,2.0,0,0,US,182.0,4.302197802197801,3.0,10.0
36,bodysuit,EUR,13.0,0.7111111111111111,4.430830039525691,506.0,4.0,0,0,CN,1475.0,4.416271186440678,4.0,1000.0
